"","GM.Open","GM.High","GM.Low","GM.Close","GM.Volume","GM.Adjusted"
"2016-11-30",34.700001,34.98,34.450001,34.529999,15681700,29.878952
"2016-12-01",34.810001,36.66,34.790001,36.43,37092300,31.523033
"2016-12-02",36.25,36.299999,35.299999,35.41,22753400,30.640421
"2016-12-05",35.349998,35.459999,34.91,34.939999,12440400,30.561699
"2016-12-06",35.09,35.16,34.91,35.07,11867800,30.675415
"2016-12-07",35.18,36.540001,35.09,36.299999,26622400,31.751286
"2016-12-08",36.189999,36.459999,36.040001,36.419998,14516000,31.856236
"2016-12-09",36.41,37.68,36.41,37.66,26434200,32.940849
"2016-12-12",37.509998,37.740002,37.009998,37.099998,15575200,32.451031
"2016-12-13",37.150002,37.439999,36.950001,37.360001,9228800,32.678455
"2016-12-14",36.299999,36.779999,35.93,35.950001,19799000,31.445139
"2016-12-15",35.869999,36.389999,35.779999,36.240002,18215600,31.698799
"2016-12-16",36.400002,36.41,36.099998,36.369999,23751600,31.812504
"2016-12-19",36.490002,36.73,36.150002,36.400002,10960800,31.838758
"2016-12-20",36.400002,36.73,36.23,36.610001,8795900,32.022434
"2016-12-21",36.5,36.689999,36.349998,36.419998,6669700,31.856236
"2016-12-22",36.290001,36.400002,35.630001,35.689999,9911700,31.217716
"2016-12-23",35.830002,35.869999,35.540001,35.689999,9351200,31.217716
"2016-12-27",35.799999,35.93,35.5,35.540001,6008700,31.086514
"2016-12-28",35.740002,35.799999,35.130001,35.150002,8451900,30.745386
"2016-12-29",35.25,35.48,35.119999,35.139999,4416700,30.736641
"2016-12-30",35.209999,35.310001,34.669998,34.84,7646100,30.47423
"2017-01-03",34.98,35.57,34.84,35.150002,10904900,30.745386
"2017-01-04",35.599998,37.240002,35.470001,37.09,23388500,32.442284
"2017-01-05",37.009998,37.049999,36.07,36.389999,15636700,31.83
"2017-01-06",36.41,36.549999,35.93,35.990002,13240100,31.480131
"2017-01-09",36.119999,36.529999,35.860001,36.009998,15204500,31.497618
"2017-01-10",36.189999,38.16,36.049999,37.349998,34804500,32.669704
"2017-01-11",37.540001,38.110001,37.220001,37.950001,19553900,33.194515
"2017-01-12",38,38.150002,37.060001,37.509998,16830200,32.809647
"2017-01-13",37.549999,37.77,37.150002,37.34,8748800,32.660957
"2017-01-17",37.34,37.689999,37.169998,37.310001,8225700,32.63472
"2017-01-18",37.450001,37.580002,37.119999,37.470001,11220100,32.774673
"2017-01-19",37.630001,37.84,37.16,37.299999,8262700,32.625973
"2017-01-20",37.419998,37.419998,36.759998,37.009998,14001500,32.372314
"2017-01-23",37.009998,37.130001,36.380001,36.650002,11624500,32.057423
"2017-01-24",36.700001,37.240002,36.68,37,11600300,32.363564
"2017-01-25",37.709999,38.380001,37.599998,38.279999,20745200,33.483166
"2017-01-26",38.099998,38.25,37.369999,37.52,10813400,32.818401
"2017-01-27",37.52,37.59,36.880001,37.009998,10228600,32.372314
"2017-01-30",36.84,36.900002,36.130001,36.330002,11787700,31.777521
"2017-01-31",36.25,36.650002,36.119999,36.610001,10679000,32.022434
"2017-02-01",36.68,37.110001,35.860001,36.139999,13744100,31.61133
"2017-02-02",36.080002,36.139999,35.470001,35.73,11893700,31.252699
"2017-02-03",35.919998,36.330002,35.68,36.330002,13962200,31.777521
"2017-02-06",36.41,36.830002,36.259998,36.830002,13941200,32.21487
"2017-02-07",35.75,35.959999,34.799999,35.099998,39477700,30.701651
"2017-02-08",35.200001,35.330002,34.720001,35.139999,16867300,30.736641
"2017-02-09",35.139999,35.400002,35.02,35.080002,14834000,30.684158
"2017-02-10",35.209999,35.32,35.080002,35.169998,10321800,30.76288
"2017-02-13",35.380001,35.540001,35.18,35.52,10141600,31.069017
"2017-02-14",36.720001,37.400002,36.669998,37.240002,31403300,32.573494
"2017-02-15",36.950001,37.110001,36.599998,37.080002,15674400,32.433544
"2017-02-16",37.110001,37.16,36.82,37.029999,9369400,32.389805
"2017-02-17",36.790001,37.900002,36.41,37.220001,15777400,32.555996
"2017-02-21",37.599998,38.099998,37.419998,37.810001,14549200,33.072067
"2017-02-22",37.889999,38.099998,37.799999,37.84,9102700,33.098309
"2017-02-23",37.939999,38.07,37.189999,37.25,13179200,32.582233
"2017-02-24",36.869999,37.189999,36.57,36.900002,13060100,32.2761
"2017-02-27",36.919998,37.360001,36.860001,37.27,10091800,32.599728
"2017-02-28",37.150002,37.220001,36.549999,36.84,10497800,32.223618
"2017-03-01",37.200001,37.75,37.18,37.43,10702600,32.739681
"2017-03-02",37.369999,38.099998,37.25,37.759998,14935100,33.028328
"2017-03-03",37.759998,38.369999,37.580002,38.23,19455500,33.439434
"2017-03-06",37.98,38.549999,37.200001,37.91,20199100,33.159538
"2017-03-07",37.759998,37.84,37.299999,37.52,17247500,32.818401
"2017-03-08",37.110001,37.689999,37.110001,37.27,11375600,32.93327
"2017-03-09",37.330002,37.349998,36.779999,36.830002,12703600,32.544476
"2017-03-10",37.099998,37.189999,36.77,36.830002,18653600,32.544476
"2017-03-13",37,37.130001,36.830002,36.869999,10120700,32.579819
"2017-03-14",36.75,36.970001,36.68,36.959999,5924300,32.659348
"2017-03-15",37.07,37.16,36.790001,37.09,28089800,32.774223
"2017-03-16",37.09,37.119999,36.77,37.080002,12599000,32.765396
"2017-03-17",37.130001,37.16,36.299999,36.330002,19603600,32.102654
"2017-03-20",36.360001,36.450001,35.599998,35.709999,38504800,31.554798
"2017-03-21",35.950001,35.98,34.470001,34.549999,30898000,30.529776
"2017-03-22",34.310001,34.610001,33.959999,34.389999,18940400,30.388391
"2017-03-23",34,34.459999,33.790001,34.259998,14536600,30.273516
"2017-03-24",34.400002,35.07,34.080002,34.560001,16257000,30.538612
"2017-03-27",34.279999,34.75,33.970001,34.709999,12941300,30.671154
"2017-03-28",34.66,36.25,34.66,35.560001,29829300,31.422255
"2017-03-29",35.619999,36.060001,35.52,35.540001,13884400,31.404581
"2017-03-30",35.5,35.790001,35.32,35.41,8760600,31.289705
"2017-03-31",35.349998,35.509998,35.27,35.360001,11772800,31.245531
"2017-04-03",35.360001,35.400002,33.799999,34.169998,31894300,30.193985
"2017-04-04",33.900002,34.43,33.900002,34.27,9500000,30.282358
"2017-04-05",34.619999,34.650002,33.990002,34,10664200,30.043772
"2017-04-06",34.02,34.470001,33.889999,34.16,12171900,30.185152
"2017-04-07",34.029999,34.200001,33.700001,33.709999,14549000,29.787516
"2017-04-10",33.84,34.119999,33.799999,33.970001,13814900,30.017262
"2017-04-11",34.09,34.09,33.59,33.919998,10424300,29.973082
"2017-04-12",34.029999,34.290001,33.720001,33.939999,14715000,29.990751
"2017-04-13",33.779999,33.91,33.369999,33.389999,9527100,29.504747
"2017-04-17",33.470001,33.98,33.369999,33.900002,10736500,29.955406
"2017-04-18",33.720001,33.830002,33.490002,33.689999,7020400,29.769844
"2017-04-19",33.889999,34.099998,33.709999,33.790001,12368700,29.858208
"2017-04-20",33.950001,34.52,33.900002,34.099998,11656200,30.132135
"2017-04-21",34.110001,34.16,33.610001,33.75,9713200,29.822863
"2017-04-24",34.060001,34.150002,33.630001,33.91,13984600,29.964247
"2017-04-25",34.099998,34.16,33.720001,33.990002,11538000,30.034939
"2017-04-26",34.009998,34.939999,33.950001,34.380001,14694300,30.379559
"2017-04-27",34.52,34.59,33.950001,34.540001,13869800,30.520941
"2017-04-28",35.07,35.290001,34.419998,34.639999,16650700,30.609304
"2017-05-01",34.630001,34.650002,34.130001,34.200001,12790500,30.220503
"2017-05-02",34.09,34.34,32.82,33.200001,24706100,29.336861
"2017-05-03",33.029999,33.66,33.009998,33.48,12611700,29.58428
"2017-05-04",33.650002,33.669998,32.970001,33.150002,12464400,29.292679
"2017-05-05",33.299999,33.77,33.200001,33.77,10145900,29.840534
"2017-05-08",33.849998,34.25,33.799999,33.970001,11736500,30.017262
"2017-05-09",33.900002,34.470001,33.900002,34.259998,8434500,30.273516
"2017-05-10",34.25,34.459999,34.080002,34.23,7665300,30.247009
"2017-05-11",34.07,34.23,33.900002,34.110001,9045400,30.140976
"2017-05-12",33.939999,34.150002,33.27,33.619999,12503600,29.707987
"2017-05-15",33.970001,34.150002,33.650002,33.82,13634400,29.884722
"2017-05-16",33.900002,33.990002,33.349998,33.419998,13551400,29.531263
"2017-05-17",33.419998,33.509998,32.09,32.419998,18631900,28.647617
"2017-05-18",32.23,32.669998,32.209999,32.470001,14031300,28.691805
"2017-05-19",32.549999,32.970001,32.509998,32.720001,14019200,28.912716
"2017-05-22",32.970001,33.25,32.740002,32.919998,18258800,29.089436
"2017-05-23",33.049999,33.400002,33.009998,33.220001,17574200,29.354536
"2017-05-24",33.200001,33.41,33,33.200001,10709100,29.336861
"2017-05-25",33.200001,33.470001,31.92,32.599998,32345900,28.806669
"2017-05-26",32.360001,33.07,32.240002,33.07,16813700,29.221987
"2017-05-30",33.09,33.740002,33.040001,33.529999,13923600,29.628462
"2017-05-31",33.709999,33.970001,33.48,33.93,16515800,29.981922
"2017-06-01",34.060001,34.869999,33.049999,34.43,22657800,30.423733
"2017-06-02",34.349998,34.529999,33.959999,34.450001,11654500,30.441416
"2017-06-05",34.470001,34.740002,34.259998,34.459999,11884900,30.450245
"2017-06-06",34.330002,34.48,34.099998,34.43,11523000,30.423733
"2017-06-07",34.189999,34.459999,34.09,34.34,13022900,30.682854
"2017-06-08",34.34,34.34,33.84,34.110001,10756800,30.477352
"2017-06-09",34.049999,34.439999,34.049999,34.34,14868200,30.682854
"2017-06-12",34.220001,34.82,34.220001,34.68,14344200,30.986645
"2017-06-13",34.68,34.700001,34.200001,34.509998,12112000,30.834749
"2017-06-14",34.540001,34.639999,34.150002,34.610001,10591300,30.924105
"2017-06-15",34.41,34.669998,34.380001,34.599998,10177000,30.915161
"2017-06-16",34.59,34.599998,33.919998,34.290001,16193200,30.63818
"2017-06-19",34.369999,34.57,34.279999,34.349998,11221300,30.691784
"2017-06-20",34.34,34.52,34.150002,34.400002,8296600,30.736469
"2017-06-21",34.48,34.5,33.950001,34.130001,9127700,30.495224
"2017-06-22",34.049999,34.34,33.860001,34.189999,8937500,30.548824
"2017-06-23",34.139999,34.27,33.959999,34.200001,10238800,30.557764
"2017-06-26",34.27,34.650002,34.18,34.52,11836600,30.843679
"2017-06-27",34.330002,34.5,34.02,34.209999,11679700,30.5667
"2017-06-28",34.57,34.75,34.459999,34.580002,11025300,30.897295
"2017-06-29",34.66,34.93,34.529999,34.860001,10209700,31.14747
"2017-06-30",34.970001,35.049999,34.77,34.93,7679700,31.210018
"2017-07-03",34.52,36,34.450001,35.57,10915700,31.78186
"2017-07-05",35.57,35.580002,34.880001,35.009998,10819300,31.281502
