"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2016-11-30",157.470001,159.759995,157.070007,158.320007,7142400,147.292938
"2016-12-01",159.119995,161.720001,159.119995,160.940002,5250200,149.730423
"2016-12-02",161,162.520004,160.559998,160.729996,3480000,149.535065
"2016-12-05",160.190002,160.669998,156.229996,157.630005,5854200,146.651001
"2016-12-06",158.169998,158.229996,156.259995,157.320007,3216700,146.362549
"2016-12-07",157.889999,159.979996,156.350006,159.399994,4552300,148.297684
"2016-12-08",159.410004,160.240005,158,159.320007,3407500,148.223282
"2016-12-09",159.520004,160.160004,157.710007,160.119995,4007200,148.967529
"2016-12-12",158.830002,159.660004,157.75,159.490005,3471200,148.381439
"2016-12-13",160.399994,161.710007,160.070007,160.539993,3868900,149.358307
"2016-12-14",161.139999,161.800003,158.720001,159.860001,3885700,148.725647
"2016-12-15",159.869995,161.289993,159.429993,160.619995,4422700,149.432724
"2016-12-16",161.380005,164,161.190002,163.940002,7605300,152.521484
"2016-12-19",163.089996,163.940002,161.220001,161.539993,4732600,150.288635
"2016-12-20",161.710007,163.110001,161.410004,161.589996,3131200,150.335144
"2016-12-21",161.419998,162.289993,159.619995,161.330002,2767700,150.093262
"2016-12-22",161.389999,161.880005,160.270004,161.580002,2741700,150.325851
"2016-12-23",161.559998,163.039993,160.550003,163.029999,2044400,151.674866
"2016-12-27",163.259995,163.960007,162.449997,162.639999,1344000,151.312027
"2016-12-28",162.160004,163.25,161.320007,161.440002,1669100,150.195602
"2016-12-29",161.919998,162.360001,160.389999,161.039993,2476300,149.823486
"2016-12-30",161.369995,161.479996,159.850006,160.039993,2855600,148.893097
"2017-01-03",161.130005,162.270004,159.149994,161.449997,3539700,150.204895
"2017-01-04",162.350006,162.580002,159.740005,161.910004,2695200,150.632889
"2017-01-05",161.75,162.630005,161.509995,162.179993,2961100,150.884048
"2017-01-06",161.75,162.940002,161.110001,162.410004,3081300,151.098053
"2017-01-09",162,162.429993,160.779999,161.949997,3040800,150.670074
"2017-01-10",161.270004,162.979996,160.5,161.580002,3500700,150.325851
"2017-01-11",161.300003,162.940002,160.610001,161.889999,3330600,150.614288
"2017-01-12",161.690002,162.940002,160.889999,162.360001,2555900,151.051529
"2017-01-13",162.160004,162.740005,161.410004,161.800003,3183300,150.530548
"2017-01-17",162.610001,162.970001,157.509995,160.660004,5475800,149.469925
"2017-01-18",161.059998,161.199997,156.089996,157.740005,6591600,146.753311
"2017-01-19",157.740005,160.550003,157.240005,158.699997,4976900,147.646454
"2017-01-20",159.020004,159.800003,157.809998,158.660004,3579100,147.609253
"2017-01-23",158.619995,159.520004,156.559998,159.070007,4062600,147.990692
"2017-01-24",159.360001,161.309998,159.100006,160.429993,3514100,149.255951
"2017-01-25",160.820007,161.979996,160.350006,161.240005,3605800,150.009506
"2017-01-26",161.860001,163.580002,161.25,162.75,4202400,151.414368
"2017-01-27",163.5,163.800003,162.619995,162.990005,3110400,151.637634
"2017-01-30",162.940002,163.460007,161.309998,162.089996,2784600,150.800369
"2017-01-31",161.619995,162.190002,160.009995,162.100006,3037000,150.809631
"2017-02-01",162.75,163.899994,162.029999,162.710007,3718500,151.377151
"2017-02-02",162.520004,163.25,160.259995,160.759995,4714000,149.563004
"2017-02-03",161.130005,162,160.210007,161.869995,2762300,150.595642
"2017-02-06",161.509995,162.529999,160.220001,160.509995,3479400,149.330383
"2017-02-07",161.050003,161.679993,159.539993,160.529999,2942700,149.349014
"2017-02-08",160,160.630005,159.410004,160.309998,2339700,149.144333
"2017-02-09",160.309998,161.300003,159.559998,160.440002,3056800,149.265289
"2017-02-10",160.119995,161.589996,160.100006,160.75,1905900,149.55368
"2017-02-13",160.690002,162.020004,160.690002,161.990005,3275800,150.707321
"2017-02-14",161.449997,163.5,161.25,163.130005,2969400,151.767914
"2017-02-15",162.580002,164.889999,162.580002,164.289993,4537900,152.847092
